Title,Year,Directors,WatchedDate
Smile,2022,Parker Finn,2024-02-27
The Tree of Life,2011,Terrence Malick,2024-03-07
Aftersun,2022,Charlotte Wells,2024-03-17
Martyrs,2008,Pascal Laugier,2024-03-23
My Dinner with Andre,1981,Louis Malle,2024-04-14
Titane,2021,Julia Ducournau,2024-04-17
The Piano Teacher,2001,Michael Haneke,2024-05-08
Dogs Don't Wear Pants,2019,J.-P. Valkeapää,2024-05-14
The Fly,1986,David Cronenberg,2024-05-15
Battle Royale,2000,Kinji Fukasaku,2024-05-21
Dona Flor e Seus Dois Maridos,1976,Bruno Barreto,2024-06-19
Crimes of the Future,2022,David Cronenberg,2024-06-24
Furiosa: A Mad Max Saga,2024,George Miller,2024-08-04
Central do Brasil,1998,Walter Salles,2024-08-06
Alien: Romulus,2024,Fede Álvarez,2024-08-14
Joker: Folie à Deux,2024,Todd Phillips,2024-09-07
Godzilla Minus One,2023,Takashi Yamazaki,2024-09-15
All Quiet on the Western Front,2022,Edward Berger,2024-10-06
The Substance,2024,Coralie Fargeat,2024-10-09
The Wild Robot,2024,Chris Sanders,2024-10-14
The Last of the Mohicans,1992,Michael Mann,2024-11-05
Mean Girls,2004,Mark Waters,2024-11-20
I'm Still Here,2024,Walter Salles,2024-11-22
Marriage Story,2019,Noah Baumbach,2024-12-17
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,2024-12-19
Eat Pray Love,2010,Ryan Murphy,2024-12-27
My Girl,1991,Howard Zieff,2025-01-13
Companion,2025,Drew Hancock,2025-01-19
Drive My Car,2021,Ryûsuke Hamaguchi,2025-01-21
La Dolce Villa,2025,Mark Waters,2025-01-22
Scent of a Woman,1992,Martin Brest,2025-02-22
Sult (A Copenhagen Love Story),2025,Ditte Hansen,2025-03-07
Carandiru,2003,Héctor Babenco,2025-03-17
Larissa: The Other Side of Anitta,2025,Pedro Cantelmo,2025-03-21
Close,2022,Lukas Dhont,2025-03-23
Red Rocket,2021,Sean Baker,2025-03-25
Vitória,2025,Andrucha Waddington,2025-04-01
O Céu de Suely,2006,Karim Aïnouz,2025-04-02
Casa de Areia,2005,Andrucha Waddington,2025-04-18
David Attenborough: A Life on Our Planet,2020,Alastair Fothergil,2025-05-02
Lahn Mah (Como Ganhar Milhões Antes que a Avó Morra),2024,Pat Boonnitipat,2025-05-08
Saneamento Básico O Filme,2007,Jorge Furtado,2025-05-17
Homem com H,2025,Esmir Filho,2025-06-07
Meu Nome Não É Johnny,2008,Mauro Lima,2025-06-20
Pearl,2022,Ti West,2025-07-01
In the Mood for Love,2000,Wong Kar-Wai,2025-07-03
Superman,2025,James Gunn,2025-07-06
Mr. Malcolm's List,2022,Emma Holly Jones,2025-07-09
O Homem Que Copiava,2003,Jorge Furtado,2025-07-28
O Pagador de Promessas,1962,Anselmo Duarte,2025-07-30
Ó Paí Ó,2007,Monique Gardenberg,2025-07-31
Deus e o Diabo na Terra do Sol,1964,Glauber Rocha,2025-08-09
Pixote: A Lei do Mais Fraco,1980,Hector Babenco,2025-10-10
Capitães da Areia,2011,Cecília Amado,2025-10-14
The Mule,2018,Clint Eastwood,2025-10-26
E.T. the Extra-Terrestrial,1982,Steven Spielberg,2025-11-14
Steve,2025,Tim Mielants,2025-12-08
O Filho de Mil Homens,2025,Paulo Machline,2025-12-09
Spider-Man: Across the Spider-Verse,2023,Daniel Rezende,2025-12-16
Dune: Part Two,2024,Denis Villeneuve,2025-12-26
